colonnina,lon,lat,quartiere,zona,via,civico,distanza_m
Ercolani,11.357107706852387,44.49378141713027,Santo Stefano,Irnerio,PIAZZA DI PORTA SAN VITALE,3.0,27.7
Laura_Bassi,11.36916189698496,44.4855095914257,Santo Stefano,Murri,VIA GIUSEPPE MAZZINI,93.0,7.0
Levante_I,11.38507390953432,44.4795677425814,Savena,Mazzini,VIA EMILIA LEVANTE,156.0,5.6
Levante_II,11.385193149121747,44.47937218965805,Savena,Mazzini,VIA EMILIA LEVANTE,131.0,22.8
Manzi,11.3228309791777,44.51374114563223,Navile,Lame,VIA DEL LAZZARETTO,9.0,43.3
Massarenti_I,11.37056742338153,44.49300884795814,San Donato - San Vitale,S. Vitale,VIA GIUSEPPE MASSARENTI,200.0,12.9
Massarenti_II,11.37056742338153,44.49300884795814,San Donato - San Vitale,S. Vitale,VIA GIUSEPPE MASSARENTI,200.0,12.9
Mazzini_I,11.35940582976347,44.48936290709702,Santo Stefano,Murri,VIA GIUSEPPE MAZZINI,13.0,18.4
Mazzini_II,11.35940582976347,44.48936290709702,Santo Stefano,Murri,VIA GIUSEPPE MAZZINI,13.0,18.4
Murri_I,11.35658715560829,44.48440745989066,Santo Stefano,Galvani,PIAZZA DI PORTA SANTO STEFANO,6.0,37.7
Murri_II,11.35719458905058,44.48418981668801,Santo Stefano,Murri,VIA AUGUSTO MURRI,2.0,32.0
Orti_I,11.37616366060589,44.4764532079831,Santo Stefano,Murri,VIA DEGLI ORTI,63.0,47.9
Orti_II,11.37609044129954,44.47624162079627,Santo Stefano,Murri,VIA DEGLI ORTI,63.0,29.7
Parri,11.353358535590543,44.512147392349696,Navile,Bolognina,VIA FERRUCCIO PARRI,5.0,38.6
Sabotino,11.322137963427934,44.497199657497255,Porto - Saragozza,Saffi,VIA MONTENERO,30.0,16.2
San Donato,11.385967638632419,44.512254255451175,San Donato - San Vitale,San Donato,VIA SAN DONATO,177.0,41.3
Saragozza_I,11.32462617589072,44.49016122937364,Porto - Saragozza,Costa Saragozza,VIA SARAGOZZA,134.0,11.8
Saragozza_II,11.32462617589072,44.49016122937364,Porto - Saragozza,Costa Saragozza,VIA SARAGOZZA,134.0,11.8
Stalingrado_I,11.3551924689268,44.50693322789438,San Donato - San Vitale,San Donato,VIA STALINGRADO,15.0,14.1
Stalingrado_II,11.3551924689268,44.50693322789438,San Donato - San Vitale,San Donato,VIA STALINGRADO,15.0,14.1
Sturzo_I,11.29621298616868,44.48813405746513,Borgo Panigale - Reno,Barca,VIA DON LUIGI STURZO,43.0,35.7
Sturzo_II,11.29599058158018,44.48820778081575,Borgo Panigale - Reno,Barca,VIA DON LUIGI STURZO,43.0,16.4
Zanardi_I,11.32990298071598,44.50817288812807,Navile,Lame,VIA DE' CARRACCI,12.0,58.1
Zanardi_II,11.32964907760978,44.5082267800901,Navile,Lame,VIA DE' CARRACCI,12.0,50.9
